iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 24, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"745,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","21,247,127,324.50","7.16","21,247,127,324.50","132,587,378.00","160.25","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","18,618,753,139.92","6.28","18,618,753,139.92","66,360,456.00","280.57","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","7,799,077,813.74","2.63","7,799,077,813.74","79,476,998.00","98.13","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","5,872,783,323.45","1.98","5,872,783,323.45","21,930,555.00","267.79","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","5,598,536,187.04","1.89","5,598,536,187.04","53,096,891.00","105.44","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,909,238,674.32","1.66","4,909,238,674.32","46,287,372.00","106.06","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","4,801,276,953.60","1.62","4,801,276,953.60","16,062,080.00","298.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,565,345,562.36","1.54","4,565,345,562.36","23,976,396.00","190.41","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","4,087,724,171.58","1.38","4,087,724,171.58","19,842,358.00","206.01","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,964,801,068.11","1.34","3,964,801,068.11","8,329,589.00","475.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","3,800,729,481.99","1.28","3,800,729,481.99","36,711,383.00","103.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,557,927,579.55","1.20","3,557,927,579.55","23,307,747.00","152.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,266,285,455.01","1.10","3,266,285,455.01","26,149,111.00","124.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","3,202,035,395.04","1.08","3,202,035,395.04","14,486,226.00","221.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,085,732,143.20","1.04","3,085,732,143.20","21,031,435.00","146.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","2,644,834,624.83","0.89","2,644,834,624.83","7,521,641.00","351.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,571,491,984.04","0.87","2,571,491,984.04","9,085,902.00","283.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","2,491,304,447.08","0.84","2,491,304,447.08","15,765,754.00","158.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,474,965,683.90","0.83","2,474,965,683.90","15,859,065.00","156.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","2,369,993,443.53","0.80","2,369,993,443.53","3,725,409.00","636.17","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,368,761,597.60","0.80","2,368,761,597.60","22,602,687.00","104.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","2,363,221,796.14","0.80","2,363,221,796.14","7,030,678.00","336.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,198,866,303.64","0.74","2,198,866,303.64","12,277,996.00","179.09","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","2,113,057,470.30","0.71","2,113,057,470.30","34,697,167.00","60.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","2,021,192,623.73","0.68","2,021,192,623.73","50,041,907.00","40.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","1,959,179,160.60","0.66","1,959,179,160.60","3,955,780.00","495.27","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,951,882,957.94","0.66","1,951,882,957.94","3,496,369.00","558.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,849,835,407.52","0.62","1,849,835,407.52","36,623,152.00","50.51","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","1,772,730,566.80","0.60","1,772,730,566.80","12,501,626.00","141.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","1,771,635,397.17","0.60","1,771,635,397.17","6,529,449.00","271.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","1,694,358,291.60","0.57","1,694,358,291.60","8,914,860.00","190.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,688,688,606.02","0.57","1,688,688,606.02","62,221,393.00","27.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,532,160,913.92","0.52","1,532,160,913.92","16,285,724.00","94.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,530,294,626.16","0.52","1,530,294,626.16","4,081,221.00","374.96","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,527,021,056.00","0.51","1,527,021,056.00","5,614,048.00","272.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,524,060,765.50","0.51","1,524,060,765.50","15,543,710.00","98.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,513,750,019.25","0.51","1,513,750,019.25","4,390,863.00","344.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,450,206,898.47","0.49","1,450,206,898.47","8,078,697.00","179.51","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,450,159,556.04","0.49","1,450,159,556.04","5,843,412.00","248.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,410,041,655.26","0.48","1,410,041,655.26","37,441,361.00","37.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,407,926,639.40","0.47","1,407,926,639.40","14,373,932.00","97.95","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,347,048,456.08","0.45","1,347,048,456.08","37,501,349.00","35.92","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,340,870,300.10","0.45","1,340,870,300.10","17,715,290.00","75.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,340,476,221.01","0.45","1,340,476,221.01","11,104,931.00","120.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,303,775,619.95","0.44","1,303,775,619.95","3,970,205.00","328.39","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,282,835,416.32","0.43","1,282,835,416.32","18,954,424.00","67.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,259,493,669.92","0.42","1,259,493,669.92","13,059,868.00","96.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,254,175,254.75","0.42","1,254,175,254.75","13,820,113.00","90.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,240,123,507.48","0.42","1,240,123,507.48","9,940,073.00","124.76","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,230,732,737.70","0.42","1,230,732,737.70","33,969,990.00","36.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,210,619,798.20","0.41","1,210,619,798.20","6,506,260.00","186.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
