iShares S&P 100 ETF
Fund Holdings as of,"Mar 24, 2023"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","788,172,157.75","10.78","788,172,157.75","4,918,391.00","160.25","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","690,671,313.04","9.45","690,671,313.04","2,461,672.00","280.57","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","289,310,398.68","3.96","289,310,398.68","2,948,236.00","98.13","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","217,853,859.75","2.98","217,853,859.75","813,525.00","267.79","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","207,680,317.76","2.84","207,680,317.76","1,969,654.00","105.44","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","182,110,535.12","2.49","182,110,535.12","1,717,052.00","106.06","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","178,105,503.60","2.44","178,105,503.60","595,830.00","298.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","169,353,700.56","2.32","169,353,700.56","889,416.00","190.41","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","151,636,132.62","2.07","151,636,132.62","736,062.00","206.01","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","147,075,674.11","2.01","147,075,674.11","308,989.00","475.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","140,989,742.25","1.93","140,989,742.25","1,361,825.00","103.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","131,983,021.80","1.81","131,983,021.80","864,612.00","152.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","121,164,448.74","1.66","121,164,448.74","970,014.00","124.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","118,780,927.92","1.62","118,780,927.92","537,373.00","221.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","114,466,689.12","1.57","114,466,689.12","780,171.00","146.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","98,111,802.60","1.34","98,111,802.60","279,020.00","351.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","95,390,475.90","1.30","95,390,475.90","337,045.00","283.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","92,415,942.74","1.26","92,415,942.74","584,837.00","158.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","91,810,098.00","1.26","91,810,098.00","588,300.00","156.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","87,916,149.32","1.20","87,916,149.32","138,196.00","636.17","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","87,870,503.20","1.20","87,870,503.20","838,459.00","104.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","87,664,384.65","1.20","87,664,384.65","260,805.00","336.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","81,567,973.22","1.12","81,567,973.22","455,458.00","179.09","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","78,384,877.20","1.07","78,384,877.20","1,287,108.00","60.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","74,977,128.31","1.03","74,977,128.31","1,856,329.00","40.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","72,676,415.07","0.99","72,676,415.07","146,741.00","495.27","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","72,406,322.00","0.99","72,406,322.00","129,700.00","558.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","68,620,461.52","0.94","68,620,461.52","1,358,552.00","50.51","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","65,760,317.20","0.90","65,760,317.20","463,754.00","141.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","65,719,924.62","0.90","65,719,924.62","242,214.00","271.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","62,852,842.00","0.86","62,852,842.00","330,700.00","190.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","62,642,648.20","0.86","62,642,648.20","2,308,130.00","27.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","56,836,174.08","0.78","56,836,174.08","604,126.00","94.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","56,767,444.16","0.78","56,767,444.16","151,396.00","374.96","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","56,645,632.00","0.77","56,645,632.00","208,256.00","272.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
